user,poi
0,713 27774 30504 31221 2378 24601 1600 651 1788 5159 1791 
0,2070 1303 713 6855 6203 719 8157 30504 31221 24006 23979 
0,1015 713 1025 2378 1598 1600 4298 10612 2378 1600 8157 3224 713 1015 719 
0,30452 19918 2070 651 30488 22994 713 2378 11794 36847 36852 10899 1732 
0,5819 15244 19918 651 279 1303 6855 22994 6203 27774 27774 8157 1025 2378 1598 2437 30301 30304 30321 
0,713 1015 1015 713 1025 
0,1552 2378 24601 1604 651 5819 5819 15244 2070 651 
0,1604 651 1788 14867 5159 1791 
0,1303 713 6855 22994 
0,1552 1598 31120 1600 8157 713 6855 22994 6203 719 
0,713 719 1015 713 1025 2378 1598 1600 1604 651 2070 
0,30452 2070 6203 24601 651 1788 5159 5819 
0,1552 2378 29823 1600 1604 651 1788 15244 
0,279 26534 713 22994 1015 719 1015 4840 713 8157 1025 1552 1598 651 2070 1365 1791 15244 19918 2070 
0,1552 2378 24601 30001 1600 19260 6855 6203 719 
0,713 1015 719 1015 713 2378 1598 1600 1604 651 2070 
0,1015 719 6203 719 1015 713 1025 
0,1552 2378 1598 1600 1604 1731 4802 22272 1731 1788 5819 15244 
0,713 6855 719 27371 19918 2070 651 
0,5636 2070 651 1303 22994 27774 8157 24601 1598 29823 31120 1600 1604 651 2070 5159 1791 15244 
0,713 22994 1015 719 713 1025 1015 1552 2378 1598 24601 1604 651 2070 5819 15244 651 
0,651 1934 8157 3224 713 6855 6203 27774 27774 8157 31221 32892 1552 2378 24601 1598 31120 1600 2070 1791 
0,2070 651 651 279 1303 28390 713 6855 22994 719 719 2378 24601 1598 1600 1604 651 2070 1788 1791 5819 15244 651 
0,1552 2378 1598 1600 1604 651 1788 5636 1791 5819 651 
0,719 713 27774 31221 
0,19918 651 30488 22994 6203 719 713 27774 8157 31221 2378 1598 29823 31120 2070 14867 15244 33913 
0,3224 6203 713 19260 25987 8157 1025 
0,651 1303 30488 713 6855 6203 719 19260 8157 31221 1552 2901 24601 29823 1600 1604 651 2070 1788 1791 5819 15244 
0,27774 8157 24075 1598 8157 3224 6203 
0,713 1015 713 1025 
0,713 35170 19260 8157 2411 24601 30001 31120 6855 22994 6203 719 
0,1552 2378 1598 31120 2070 5819 651 
0,24601 1598 31120 1600 1604 651 2070 1788 5819 
0,19918 2070 30187 5819 15244 15493 1934 713 27774 8157 31221 1552 2378 32786 651 5819 
0,1552 24601 29823 1600 2070 6757 1791 5819 19918 
0,1552 2378 24601 1598 1604 1788 5159 1791 
0,1598 1600 1600 4298 10612 24006 23979 24601 1598 1600 
0,12503 15212 713 719 
0,30452 651 22994 6203 713 27774 8157 31221 2378 24601 1598 29823 651 2070 1788 5159 1791 
0,2378 1598 1600 3224 713 719 
0,6203 719 829 21488 1552 2378 1598 1600 8679 6855 713 1015 719 
0,651 713 719 1015 713 1934 
0,279 1303 30488 35170 22994 6203 27774 8157 1552 2378 1598 31120 1600 651 2070 1788 
0,1015 713 1025 2378 1598 2437 2411 11180 3224 713 1015 6203 
0,1552 24601 31120 3224 
0,713 1015 719 1015 713 1025 2378 1598 1604 651 1788 5819 15244 2070 651 
0,1552 2378 1600 1600 651 2070 1788 5819 15244 2070 651 
0,651 4394 10423 15045 10423 719 1015 713 1025 1552 2378 1598 1600 16330 3224 713 
0,279 1303 6855 22994 6203 
0,2378 31120 651 14867 
0,1598 1552 1598 3224 713 1015 719 1552 1598 8086 1600 8141 8157 1025 713 1015 719 
0,8157 3224 713 1015 719 6203 1552 2378 1598 1600 3224 713 1015 719 
0,30452 5159 651 24601 1598 31120 1600 1604 10244 
0,19918 30452 2070 651 1303 713 27774 31221 1552 31120 1600 651 2070 1788 6757 34984 
0,651 1332 1552 2378 1598 1600 1604 651 1788 4574 1791 
0,1552 24601 1598 1600 1600 651 1788 1791 5819 
0,6203 719 1015 713 1025 1598 8157 713 719 
0,2378 1598 29823 31120 651 2070 1788 15244 
0,719 1015 713 1025 1552 2378 24601 1604 651 14867 5635 1791 15244 2070 
0,2378 1598 1600 651 2070 5159 1791 5819 15244 6757 2070 651 
0,713 19260 713 1015 1025 1552 2378 1600 1604 1604 651 2070 1788 4574 23552 5741 5819 2070 651 
0,30452 19918 279 22994 719 35170 19260 16330 8157 31221 
0,713 1015 719 1552 2901 1598 1600 1604 651 2070 1788 5159 1791 5819 2070 651 
0,713 1015 719 1015 713 1025 1598 1600 1604 5148 1788 5159 1791 651 
0,713 19260 8157 31221 
0,26534 1303 713 719 6203 719 26714 713 19260 1025 1552 2378 
0,5819 15244 2070 651 279 1303 35170 6855 22994 6203 35170 27774 2378 1598 31120 1600 1604 651 1788 5159 33746 5819 15244 
0,2070 1788 1791 5819 15244 
0,1552 2378 24601 1598 24075 651 1788 5159 
0,1303 713 22994 28228 719 713 19260 8157 1025 1552 2378 1598 651 2070 1791 5819 
0,30452 19918 651 279 30488 713 2378 24601 31120 2070 15244 
0,4394 10423 1015 719 1025 23979 24006 1598 24075 1015 719 
0,1552 2378 1598 24075 24601 1598 29823 1600 1600 8157 6855 
0,1552 1600 1604 651 1788 5819 
0,713 2378 23979 24006 1598 29823 31120 1600 8157 3224 713 35170 22994 10650 719 
0,1015 719 1015 713 1025 1552 1600 3224 
0,2378 1598 1604 651 2070 1788 5819 
0,6203 1015 713 19260 25987 
0,19918 2070 651 6855 6203 713 27774 8157 3224 1552 2378 31120 2070 1788 
0,1552 2378 1598 24601 1600 1600 651 2070 1788 6757 1791 
0,19918 2070 651 10423 1015 719 713 1015 19260 16330 8157 1025 
0,713 1015 1015 713 1025 1552 2378 1598 1600 1604 651 1788 15244 2070 651 
0,1015 713 1025 2378 1598 1600 1604 651 2070 1788 5819 15244 
0,713 19260 16330 30504 31221 1552 32376 29823 31120 8157 3224 6855 
0,279 713 27774 8157 29823 31120 2070 1788 5819 
0,5322 529 279 1303 6203 713 27774 27774 8157 31221 24601 1598 31120 1600 1604 651 2070 5159 1791 15244 2070 651 
0,719 27774 8157 1025 1552 24075 1598 8157 3224 713 
0,713 1015 10650 719 1015 713 1025 
0,26534 713 6855 1015 719 1015 713 19260 8157 1025 1552 24601 1598 1600 1604 651 2070 1788 27447 1791 2070 651 
0,713 19260 8157 1025 1552 2378 1598 24075 1604 15244 
0,713 6855 22994 719 35170 27774 30504 8157 31221 1552 2378 
0,30452 19918 1303 713 713 27774 30504 8157 31221 1598 29823 1731 22272 24681 1731 279 1303 30488 6855 22994 10650 
0,713 1015 1015 713 1025 1552 2378 
0,713 30488 279 4394 713 35170 19260 8157 31221 2378 29823 31120 713 6855 
0,1552 1598 29823 31120 1604 2070 2070 5819 15244 
0,19918 279 30488 31221 1552 24601 29823 31120 1600 1604 651 1788 14867 1791 
0,713 27774 27774 8157 31221 2378 24006 1598 1600 1598 31120 1600 713 6203 
0,1552 1600 24006 23979 1598 1600 3224 713 6855 6203 
0,1552 2378 1598 2411 2437 2440 
0,2775 2775 623 713 1015 719 1015 1025 1552 1598 1600 1604 651 1788 
0,19918 279 6203 713 27774 30504 1552 2378 1600 9979 2070 5159 1791 15244 
0,19918 1303 30488 713 6203 27774 31221 1552 1600 1604 1788 1791 
0,1552 1598 1600 651 1788 1791 651 
0,1552 2378 1598 2411 8895 3224 713 716 719 
0,1015 719 1015 713 1025 1552 2378 1598 1600 1604 651 2070 15244 2070 651 
0,24601 1598 31120 1600 1604 34005 30187 5159 5819 15244 
0,651 713 719 6855 719 1015 713 1025 1552 2378 1598 1600 1600 1604 651 
0,27774 31221 24601 1598 29823 31120 1600 1604 
0,30452 651 30488 713 35170 6855 22994 6203 713 27774 30504 31221 1552 1598 29823 31120 1600 1604 651 2070 1788 1791 15244 
0,651 6855 6203 35170 27774 30504 8157 31221 1552 2378 24075 24601 1598 31120 1600 2070 1788 30388 5819 15244 
