user,poi
0,27774 30504 31221 1552 24601 29823 31120 5325 713 10650 6203 719 
0,1552 2378 24601 1604 651 5819 5819 15244 2070 651 
0,26534 1303 713 719 6203 719 26714 713 19260 1025 1552 2378 
0,713 19260 713 1015 1025 1552 2378 1600 1604 1604 651 2070 1788 4574 23552 5741 5819 2070 651 
0,2070 651 651 279 1303 28390 713 6855 22994 719 719 2378 24601 1598 1600 1604 651 2070 1788 1791 5819 15244 651 
0,3224 6203 713 19260 25987 8157 1025 
0,713 19260 8157 31221 
0,19918 279 1303 22994 6203 713 19260 8157 31221 1552 34076 34106 34108 6203 
0,2070 1303 713 6855 6203 719 8157 30504 31221 24006 23979 
0,1552 1598 29823 31120 1604 2070 2070 5819 15244 
0,713 30488 279 4394 713 35170 19260 8157 31221 2378 29823 31120 713 6855 
0,2378 1598 1600 3224 713 719 
0,30452 279 1303 713 6855 22994 6203 27774 30504 31221 24601 1598 29823 1600 1604 2070 
0,19918 2070 651 6855 6203 713 27774 8157 3224 1552 2378 31120 2070 1788 
0,1552 2378 24601 1598 31120 1600 1604 2070 1788 5819 15244 
0,2070 651 713 6203 719 713 27774 27774 8157 29823 31120 651 1788 5159 15244 
0,713 27774 27774 1552 2378 1598 31120 22272 31258 10244 5036 30488 22994 6203 
0,19918 1303 30488 713 6203 27774 31221 1552 1600 1604 1788 1791 
0,713 27774 27774 33523 8157 31221 1552 2378 
0,6203 719 1015 713 1025 1598 8157 713 719 
0,1015 713 1025 2378 1598 2437 2411 11180 3224 713 1015 6203 
0,719 713 8157 1552 29823 31120 1600 3224 713 22994 
0,651 713 719 1015 713 1934 
0,1015 713 1025 2378 1598 1600 1604 651 2070 1788 5819 15244 
0,651 4394 10423 15045 10423 719 1015 713 1025 1552 2378 1598 1600 16330 3224 713 
0,713 27774 30504 31221 2378 24601 1600 651 1788 5159 1791 
0,19918 2378 24601 1598 1600 1604 651 1788 
0,1552 2378 1604 2070 1788 1791 5819 15244 
0,30488 713 6855 6203 713 35170 27774 8157 31221 23979 24006 1604 14867 5159 6757 1791 5819 
0,713 1015 719 1015 713 1025 2378 1598 1604 651 1788 5819 15244 2070 651 
0,1598 1600 1600 3224 6855 22994 21552 27122 
0,713 1015 719 1015 713 1025 1598 1600 1604 5148 1788 5159 1791 651 
0,1015 713 1025 1552 1598 1600 1604 1788 5819 651 
0,713 35170 19260 8157 2411 24601 30001 31120 6855 22994 6203 719 
0,1788 5159 5819 30452 1303 713 6855 22994 6203 27774 8157 31221 1552 36036 36039 24601 29823 3224 6203 
0,2378 24601 31120 1600 2070 5819 
0,713 2378 23979 24006 1598 29823 31120 1600 8157 3224 713 35170 22994 10650 719 
0,19918 651 30488 22994 6203 719 713 27774 8157 31221 2378 1598 29823 31120 2070 14867 15244 33913 
0,1552 2378 29823 1600 1604 651 1788 15244 
0,651 713 6855 22994 719 713 19260 31221 2378 24006 23979 1598 31120 2378 1598 30504 25987 33621 23107 713 22994 6203 
0,279 1303 1303 713 22994 6203 719 27774 8157 1025 1552 29823 1600 651 1788 5159 1791 5819 15244 
0,1604 651 1788 14867 5159 1791 
0,19918 2070 651 10423 1015 719 713 1015 19260 16330 8157 1025 
0,1552 24601 1598 1600 1600 651 1788 1791 5819 
0,713 1015 1015 713 1025 1552 2378 
0,27774 8157 1025 1552 2378 24601 16330 25987 19260 719 719 
0,713 1015 1015 713 1025 
0,35170 19260 16330 30504 8157 31221 1552 6855 719 
0,4394 10423 1015 719 1025 23979 24006 1598 24075 1015 719 
0,30452 19918 6203 719 30504 31221 29823 1600 3224 6203 
0,651 1332 1552 2378 1598 1600 1604 651 1788 4574 1791 
0,713 19260 35170 30504 16330 8157 31221 8086 35181 30304 2440 29823 1600 8157 6855 22994 10650 6203 719 
0,6203 1552 2378 24601 1598 1600 1604 2070 651 
0,1552 1598 24601 1600 24552 8141 5325 5325 3224 713 1015 19260 6855 719 
0,1015 713 1025 1552 2378 1600 1600 651 1788 1791 
0,26714 713 19260 25987 8157 1552 1598 1600 10612 4298 24006 23979 
0,2378 1598 1604 651 2070 1788 5819 
0,1552 2378 1598 16330 903 25987 713 22994 6203 719 
0,1303 30488 713 6855 719 713 27774 27774 8157 31221 1552 2378 1598 29823 31120 1600 8157 713 6855 719 
0,1552 24601 1600 1604 2070 1791 19918 2070 651 279 
0,1015 1015 713 1025 2378 1598 651 1788 5159 5819 651 
0,1015 713 1025 1552 2378 1598 1600 1600 1604 651 2070 1788 5819 15244 2070 651 
0,19918 30452 2070 651 1303 713 27774 31221 1552 31120 1600 651 2070 1788 6757 34984 
0,1552 2378 1600 1600 651 2070 1788 5819 15244 2070 651 
0,1552 2378 1598 4298 1600 1604 1788 
0,1303 713 6855 22994 
0,713 27774 27774 8157 31221 2378 24006 1598 1600 1598 31120 1600 713 6203 
0,279 713 27774 8157 29823 31120 2070 1788 5819 
0,279 30488 6855 22994 719 27774 8157 3224 1552 2378 29823 31120 1600 1331 31909 27082 31163 15212 18593 12503 1731 10423 279 1303 30488 10650 719 
0,713 19260 16330 30504 31221 1552 32376 29823 31120 8157 3224 6855 
0,651 279 30488 713 22994 1552 2378 24601 1604 651 1788 5159 1791 15244 
0,279 30488 713 35170 6855 6203 719 27774 31221 1598 29823 31120 1788 5159 15244 
0,1552 2378 1598 29823 1600 1604 651 1791 5819 19918 2070 
0,713 6855 719 27371 19918 2070 651 
0,8157 3224 713 1015 719 6203 1552 2378 1598 1600 3224 713 1015 719 
0,27774 31221 2378 24601 29823 31120 1604 651 1788 5819 15244 
0,1552 2378 1598 1604 651 2070 5159 1791 15244 
0,651 2070 1788 1791 5819 15244 
0,2378 1598 29823 31120 651 2070 1788 15244 
0,19918 279 1303 30488 6855 22994 6203 713 27774 27774 8157 30504 1025 2070 1788 
0,26534 713 6855 1015 719 1015 713 19260 8157 1025 1552 24601 1598 1600 1604 651 2070 1788 27447 1791 2070 651 
0,1552 2378 24601 1598 24075 651 1788 5159 
0,713 1015 719 1015 713 2378 1598 1600 1604 651 2070 
0,35170 8157 3224 31221 2378 1598 31120 1600 8157 3224 713 19260 6855 6203 
0,1552 1600 24006 23979 1598 1600 3224 713 6855 6203 
0,713 1015 719 6203 1015 713 1025 651 1788 5819 6757 
0,24601 1598 31120 1600 1604 34005 30187 5159 5819 15244 
0,713 1015 719 1552 2901 1598 1600 1604 651 2070 1788 5159 1791 5819 2070 651 
0,5636 2070 651 1303 22994 27774 8157 24601 1598 29823 31120 1600 1604 651 2070 5159 1791 15244 
0,1552 2378 1598 1600 1604 651 1788 5636 1791 5819 651 
0,30452 651 30488 713 35170 6855 22994 6203 713 27774 30504 31221 1552 1598 29823 31120 1600 1604 651 2070 1788 1791 15244 
0,719 713 27774 31221 
0,651 279 1303 35170 6855 22994 6203 30504 31221 1598 1600 1604 2070 1788 5819 
0,27774 8157 16628 1552 2378 1598 29823 1600 713 6855 22994 
0,719 713 35170 19260 8157 31221 1552 2378 1598 30001 1600 8157 22994 6203 
0,30452 19918 651 279 30488 713 2378 24601 31120 2070 15244 
0,1552 2411 29823 30504 3224 713 35170 
0,6203 1015 713 19260 25987 
0,1598 1600 1600 4298 10612 24006 23979 24601 1598 1600 
0,6203 1015 713 1025 1552 2378 1598 1600 3224 713 1015 
0,713 6855 22994 1015 6203 6203 719 1015 27774 8157 1025 1552 2378 1600 1604 2070 1788 1791 5819 15244 
0,27774 8157 24075 1598 8157 3224 6203 
0,651 1303 30488 713 6855 6203 719 19260 8157 31221 1552 2901 24601 29823 1600 1604 651 2070 1788 1791 5819 15244 
0,1552 2378 1598 31120 2070 5819 651 
0,713 719 1015 713 1025 2378 1598 1600 1604 651 2070 
0,1303 713 6203 719 
0,1552 1598 31120 1600 8157 713 6855 22994 6203 719 
0,1552 2378 1598 2411 2437 2440 
0,5819 15244 19918 651 279 1303 6855 22994 6203 27774 27774 8157 1025 2378 1598 2437 30301 30304 30321 
0,1303 1303 713 6855 22994 719 27774 24601 1600 4050 1303 279 2070 1788 15244 
0,279 1303 713 1552 2378 24601 29823 30001 1604 2070 1788 
0,19918 651 279 30488 713 6855 22994 719 713 27774 27774 30504 8157 1552 1598 29823 1600 33859 28333 2070 5819 
0,713 19260 8157 1025 
0,1788 14867 2070 651 26534 279 6855 22994 719 26714 713 19260 1025 23979 24006 1598 26941 2437 2440 2378 1598 1600 8157 19260 6855 26714 719 
0,279 1303 6855 22994 6203 
0,279 26534 713 22994 1015 719 1015 4840 713 8157 1025 1552 1598 651 2070 1365 1791 15244 19918 2070 
0,2775 2775 623 713 1015 719 1015 1025 1552 1598 1600 1604 651 1788 
0,1552 2378 1598 24075 24601 1598 29823 1600 1600 8157 6855 
0,30452 19918 2070 651 30488 22994 713 2378 11794 36847 36852 10899 1732 
0,2378 24601 29823 14867 5159 
0,713 1015 10650 719 1015 713 1025 
0,713 1015 1015 713 1025 1552 2378 1598 1600 1604 651 1788 15244 2070 651 
0,279 1303 30488 35170 22994 6203 27774 8157 1552 2378 1598 31120 1600 651 2070 1788 
0,2378 24601 1598 1600 1604 2070 1788 5819 
0,2378 1600 1604 1788 5159 1791 5819 651 
0,1015 719 1015 713 1025 1552 1600 3224 
0,1552 2378 24601 30001 1600 19260 6855 6203 719 
0,30452 19918 279 22994 719 35170 19260 16330 8157 31221 
0,1303 713 22994 28228 719 713 19260 8157 1025 1552 2378 1598 651 2070 1791 5819 
0,651 6855 6203 35170 27774 30504 8157 31221 1552 2378 24075 24601 1598 31120 1600 2070 1788 30388 5819 15244 
