user,poi
0,482 492 512 16904 1894 2438 5835 33182 11070 16436 8309 21118 18467 18454 9506 192 512 33529 16904 
0,32763 16434 16436 25600 5241 26100 
0,13780 45973 1869 9506 56715 191 492 512 16904 33529 1401 1692 35983 11066 317 191 
0,13780 26100 45973 8309 18467 18454 17248 8374 18448 1869 11070 16436 
0,19208 5236 47082 41399 10253 59017 59022 59023 13167 10037 4280 18811 7442 26100 25600 1869 2076 
0,26100 5241 13780 25600 1869 18448 11066 33182 11070 16434 16436 8309 18467 18454 
0,512 492 485 482 347 191 192 9506 28892 317 1869 11066 16434 16436 25600 26100 5241 13780 28950 5959 2032 366 18912 5959 28950 19208 5236 
0,25600 13780 5241 9506 2822 20444 26 6451 6302 4131 21 19 2250 22059 1140 5493 2097 5111 560 281 11066 11070 16434 16436 
0,1869 2076 482 492 512 33529 16904 5395 146 5882 46725 14415 942 14461 30106 824 32799 7529 56 11066 16434 16436 25600 13780 
0,1869 317 192 482 485 492 512 
0,512 492 485 482 347 191 192 2076 29309 9506 317 30 1869 11066 
0,5241 13780 25600 18448 11066 33182 16434 16436 8309 
0,18448 11066 16434 16436 21118 18467 18454 26100 5241 45973 13780 25600 39998 
0,482 2076 21705 317 11066 11070 16436 
0,485 512 33529 16904 30240 1401 1692 6506 25600 33182 11066 11070 5241 18448 1869 192 191 482 485 492 512 33529 16904 
0,3774 20534 20525 25600 16434 16436 16428 11066 11070 8309 18467 18454 21118 7069 
0,18448 1869 317 9506 192 
0,30 56 11066 11070 16436 8309 21118 18467 25600 13780 5241 26100 
0,18448 1869 9506 2076 21705 13780 5241 45973 26100 11066 11070 16434 16436 33182 8309 21118 18454 18448 1869 191 482 492 512 
0,482 485 492 512 33529 16904 9238 1404 11066 11070 25600 15660 33182 16434 16436 13780 5241 26100 1869 317 9506 192 485 492 512 33529 16904 
0,512 492 485 482 191 192 1692 9506 317 30 
0,26100 45973 25600 17967 13732 61010 11066 11070 18454 
0,13780 5241 18448 1869 317 9506 192 191 485 512 
0,1401 11070 8309 18467 51412 51436 45973 5236 19208 41399 5241 26100 
0,33182 16434 11066 11070 25600 13780 
0,6307 12660 512 492 485 482 347 191 192 9506 317 310 30 1869 5236 13780 5241 
0,2822 2904 26 6451 18803 95 5395 9506 317 30 1869 11066 11070 25600 13780 5241 26100 
0,18448 1869 317 9506 30240 1401 1404 1692 11066 11070 16436 16434 
