user,poi
0,1401 1692 11066 11070 16434 16436 13780 26100 18448 1869 30 9506 192 191 
0,19208 5236 18448 1869 25600 13780 26100 8309 18467 18454 41085 41116 41121 15263 41127 
0,45402 30240 56715 30 11070 8309 21118 25600 
0,10253 5236 19208 5236 13780 5241 26100 
0,512 492 192 41807 8535 8542 9506 317 30 15660 33182 11066 11070 25600 13780 5241 
0,56715 40522 58564 8542 11070 16434 16436 8309 21118 18467 13780 25600 
0,18524 5236 13780 5241 25600 18448 1869 317 1401 1692 12167 42404 42516 1894 30 39368 11066 11070 
0,18448 1869 30 9506 2076 5395 102 918 16436 21118 5241 
0,26100 5241 13780 25600 1869 18448 11066 11070 16434 16436 8309 21118 18467 18454 
0,11577 24460 1401 1692 29309 1894 5024 15326 20534 3988 11066 11070 16434 25600 13780 
0,13780 26100 45973 8309 18467 18454 17248 8374 18448 1869 11070 16436 
0,1869 317 9506 192 482 492 512 33529 16904 1401 1692 1404 1894 9506 1869 11066 11070 25600 13780 5241 26100 
0,482 492 33529 16904 1692 9506 317 1869 15660 33182 11066 11070 25600 13780 5241 26100 18448 1869 317 192 191 482 
0,27349 1401 1692 1894 11066 11070 16434 8309 21118 18467 18454 25600 13780 5241 26100 
0,26100 5241 45973 25600 5236 18524 47082 19208 39955 48396 61557 8309 21118 18467 18454 16434 16436 11066 11070 18448 1869 
0,18524 5236 19208 8309 18467 18454 25600 13780 5241 26100 
0,21705 30 33182 11070 16436 8309 18467 18454 18448 317 2076 192 482 492 33529 16904 
0,512 16904 25600 5241 11066 11070 16434 16436 33182 8309 21118 18467 18454 18448 317 9506 2076 191 482 512 
0,25600 11070 25607 11066 16434 16436 18454 18467 8309 5236 19208 13780 5241 18448 1869 310 317 192 191 485 492 512 
0,18448 1869 11066 11070 33182 
0,33182 11070 18467 18448 1869 317 9506 2076 192 191 482 33529 16904 
0,13780 11066 11070 16434 16436 26100 18524 19208 5236 
0,5395 95 33182 11066 11070 16434 16436 25600 5241 
0,18448 11066 8309 18454 25600 
0,26100 1869 317 2076 192 191 16904 
0,512 492 485 482 191 192 1692 1401 6506 6386 1894 9506 317 1869 11066 25600 13780 5241 26100 16434 16428 16436 18454 18467 8309 
0,13780 45973 1869 9506 56715 191 492 512 16904 33529 1401 1692 35983 11066 317 191 
0,6307 512 492 485 482 191 192 6386 1894 317 310 1869 1869 191 482 485 492 6307 
0,14145 6386 1894 9506 317 310 30 13780 10253 10037 5241 5236 14972 6020 
0,512 492 485 482 347 191 192 9506 317 310 30 1869 16428 11066 16434 16436 8309 1869 317 9506 192 191 482 485 512 6307 
0,16904 16907 512 492 485 482 347 191 192 192 6386 1894 9506 317 310 1869 310 317 9506 191 
0,6307 12660 512 512 492 485 12681 482 191 192 6386 1401 1692 6506 9506 317 310 1869 1869 310 317 
0,45973 5236 18524 1869 18448 19166 3988 11066 11070 16434 16436 8309 21118 18454 25600 5241 
0,26100 45973 13780 18448 1869 2076 56715 2494 1401 317 11070 16434 21118 18467 18454 
0,482 512 9238 11066 11070 25600 13780 5241 26100 
0,18448 9506 11066 11070 18467 18454 8309 25600 45973 5241 26100 
0,33182 16434 11066 11070 25600 13780 
0,512 492 485 482 347 191 192 2076 29309 9506 317 30 1869 11066 
0,18448 9506 2076 56715 1401 25600 13780 45973 5241 26100 11070 16434 16436 33182 8309 21118 18467 
0,5236 45973 18467 18454 18448 1869 11066 11070 16434 16436 25600 5241 26100 
0,482 492 512 16904 1894 2438 5835 33182 11070 16436 8309 21118 18467 18454 9506 192 512 33529 16904 
0,33529 512 492 485 482 347 191 192 9506 317 33182 11066 11070 25600 13780 5241 26100 
0,33182 16434 8309 18467 18454 21118 
0,1401 1692 11066 11070 16434 16436 18448 1869 317 192 
0,482 2076 21705 317 11066 11070 16436 
0,1401 11070 8309 18467 51412 51436 45973 5236 19208 41399 5241 26100 
0,30 310 317 192 191 347 482 
0,191 192 9506 30 33182 1869 11066 16436 25600 13780 26100 
0,18524 47082 19208 1869 11070 21118 18467 18454 16434 16436 
0,30 33182 11066 11070 16434 16436 45973 47082 26100 13780 25600 317 9506 2076 192 482 512 16904 
0,512 492 485 191 192 6386 4155 1894 9506 317 30 33182 11066 11070 25600 13780 5241 26100 1869 317 191 482 485 492 512 33529 
0,512 16904 25825 5395 146 46725 14415 2960 845 3505 11066 11070 16436 
0,16904 11066 11070 16434 16436 18454 18467 8309 25600 13780 5241 26100 18448 1869 317 192 191 
0,4095 2076 29309 29311 15686 11066 16434 16436 25600 13780 5241 26100 
0,25600 13780 5241 26100 1869 11066 11070 33182 16434 16436 8309 21118 18467 18454 18448 1869 9506 191 512 
0,18448 3774 20525 5024 3988 25600 45973 5241 26100 11066 16434 16436 33182 8309 21118 18467 
0,26100 45973 25600 17967 13732 61010 11066 11070 18454 
0,21705 11066 21118 18454 1869 317 9506 192 512 16904 
0,512 492 485 482 191 192 6386 1894 2076 9506 317 310 30 1869 
0,2822 2904 26 6451 18803 95 5395 9506 317 30 1869 11066 11070 25600 13780 5241 26100 
0,191 482 512 33529 16904 
0,11066 11070 16434 16436 8309 21118 18454 
0,18454 4269 4400 18448 5395 11066 11070 16434 16436 5241 
0,16904 25600 5241 26100 13780 11070 16434 33182 317 2076 192 191 492 16904 
0,1401 1692 11066 11070 16436 26100 5241 45973 8309 21118 
0,492 485 482 191 192 1692 1401 6506 9506 317 1869 11066 11070 32763 16434 16436 25600 13780 5241 26100 18448 1869 9506 482 485 512 16904 
0,1869 18448 11070 11066 33182 16434 16436 25600 5241 26100 
0,492 33529 25600 13780 45973 5241 26100 11070 16434 16436 33182 8309 21118 18448 9506 2076 192 191 492 512 33529 16904 
0,5241 57575 30070 23736 5236 57582 19208 47082 45973 18467 21118 16436 
0,19208 5236 5241 13780 8309 18467 18454 16434 26100 33182 1869 18448 11066 11070 25600 41399 
0,482 485 492 26869 26953 26969 26970 512 492 485 482 347 191 192 1401 9506 317 30 1869 11066 11070 13780 18448 
0,18448 1869 317 192 492 16904 
0,5241 13780 25600 18448 11066 33182 16434 16436 8309 
0,512 492 482 192 5395 26 6451 4131 3087 6302 5308 230 56 11066 11070 16434 16436 25600 5241 1869 
0,18448 1869 317 9506 192 
0,32763 16434 16436 25600 5241 26100 
0,16434 16436 25600 5241 26100 
0,8309 1869 310 317 9506 192 191 482 492 12660 
0,18524 19208 5236 45973 16434 16436 8309 21118 18467 18454 18448 1869 11066 11070 26100 47082 5241 13780 
0,25600 18448 317 2076 1401 1692 16878 11066 16434 8309 21118 45973 1869 2076 191 
0,512 492 485 482 347 191 192 9506 28892 317 1869 11066 16434 16436 25600 26100 5241 13780 28950 5959 2032 366 18912 5959 28950 19208 5236 
0,482 492 512 512 492 485 482 191 192 1401 1404 6506 9506 317 30 15660 15662 
0,16436 21118 18467 18454 5236 47082 
0,9262 15326 20510 3774 20525 20534 18524 26100 18448 1869 317 9506 28717 192 482 485 7851 1537 28727 
0,6307 12660 512 492 485 482 347 191 192 9506 317 310 30 1869 5236 13780 5241 
0,27349 9238 12119 512 492 485 482 347 191 192 9506 2076 317 1869 11066 25600 18448 317 191 485 512 1869 9506 192 482 
0,26100 45973 13780 25600 18448 1869 11066 11070 33182 16434 8309 21118 18467 18454 
0,1401 1692 13780 26100 1869 30 317 9506 192 
0,9506 192 191 482 33529 
0,485 492 512 512 492 485 482 347 191 192 1401 1692 1404 317 310 30 1869 1869 
